id,class,first_msg,last_msg,lifespan_msgs,seen_count,max_conf,mean_lon,mean_lat
49,Building,0,79,80,40,0.8031,13.351588569637277,49.726298500359285
71,Building,55,62,8,4,0.5768,13.35155493778758,49.72629420747626
84,Building,130,275,146,80,0.8762,13.351628885620688,49.72629325564158
87,Building,149,155,7,5,0.6549,13.351622328764682,49.726297668652855
65,Civilian vehicle,36,71,36,9,0.8256,13.351569505218803,49.726295186094625
64,Civilian vehicle,39,150,112,48,0.8848,13.351603353036573,49.726300082479554
73,Civilian vehicle,62,77,16,6,0.7013,13.35156411091126,49.72630852730105
85,Civilian vehicle,130,131,2,2,0.8738,13.351613688170751,49.72629754720101
67,Debris,34,35,2,2,0.623,13.351583988551297,49.726287210342065
83,Destroyed building,112,115,4,2,0.4239,13.351608127588392,49.7263064646191
1,Dry tree,0,277,278,219,0.9283,13.35160389552143,49.726292540949174
58,Dry tree,0,120,121,77,0.9383,13.351595229758798,49.726298495840844
77,Dry tree,86,112,27,10,0.8445,13.351594918797005,49.72631321733797
88,Dry tree,165,175,11,6,0.6223,13.351621542579537,49.726292331044185
70,Fence,51,242,192,99,0.9664,13.351615949423321,49.72629691398319
94,Fence,277,277,1,1,0.4441,13.351620800103788,49.72629555953013
81,Green tree,122,122,1,1,0.5278,13.35159927014838,49.726299510774105
72,Ladder,63,63,1,1,0.9595,13.351361883654091,49.72627471370437
66,Pole,39,39,1,1,0.4053,13.351567802102858,49.726283763094926
78,Pole,86,107,22,10,0.7205,13.351603008831102,49.72631100482204
79,Pole,90,90,1,1,0.4355,13.351607379687122,49.72630821497556
91,Pole,262,262,1,1,0.3781,13.351647329534998,49.72628567288108
62,Wall,19,35,17,14,0.828,13.351597282332362,49.72628113270681
89,Wall,166,166,1,1,0.3987,13.351635537318145,49.72629572007608
60,Water,0,18,19,19,0.8375,13.351609688901192,49.726307116108934
63,Window,27,38,12,7,0.8532,13.351593682240113,49.72628929178808
92,Window,273,277,5,3,0.6765,13.351632805855893,49.72629583274064
